OTU	Mix2	Mix4	Mix5	Mix6	Mix8
seq2247	1	1	0	0	0
seq2249	3	0	0	0	0
seq225	2	0	0	0	0
seq2251	1	1	0	0	0
seq2252	2	1	0	0	1
seq2256	2	0	0	0	0
seq2257	3	0	0	0	0
seq2258	1	1	0	1	0
seq2261	1	1	0	0	0
seq2262	1	0	0	0	1
seq2265	1	1	0	0	0
seq2266	1	1	0	0	0
seq2270	2	2	2	3	0
seq228	2	0	0	0	0
seq2283	1	0	1	0	0
seq2292	1	1	0	0	0
seq23	3	2	1	0	0
seq2303	1	2	0	1	0
seq2304	1	2	1	0	0
seq2305	1	0	0	0	1
seq2306	1	1	0	0	0
seq2308	1	1	0	0	0
seq2309	1	1	0	1	1
seq231	4	2	0	1	1
seq2316	2	0	0	0	0
seq2319	1	0	1	0	0
seq2320	1	2	0	0	0
seq2346	1	1	0	2	0
seq2349	1	5	0	1	1
seq2351	1	0	0	1	0
seq2354	1	1	0	0	0
seq2362	1	0	0	0	1
seq2364	1	2	0	0	2
seq2365	1	2	0	0	0
seq2366	1	1	0	1	0
seq2375	1	1	0	0	0
seq2376	2	1	1	0	0
seq2378	1	1	0	0	0
seq2384	1	0	1	0	1
seq239	1	0	0	0	1
seq2391	2	0	0	0	0
seq2393	2	1	0	0	2
seq2395	1	1	0	0	0
seq240	2	2	0	0	0
seq2400	1	0	0	0	1
seq2401	1	0	1	0	0
seq2402	2	4	1	0	3
seq2407	1	0	0	0	2
seq2410	1	0	1	0	0
seq2415	1	0	0	0	1
seq2416	1	2	0	0	0
seq2417	1	1	0	0	0
seq242	3	2	2	1	0
seq2422	1	0	1	0	0
seq2427	1	1	0	0	0
seq243	5	1	0	1	1
seq2431	1	1	0	1	0
seq2438	1	0	1	0	1
seq244	1	0	1	0	0
seq2440	2	0	0	0	0
seq2446	1	3	1	0	0
seq2454	1	1	0	0	0
seq2459	1	2	0	0	0
seq246	3	1	0	0	0
seq2461	1	1	1	0	1
seq2463	1	1	0	0	0
seq2464	1	0	0	0	1
seq2466	1	2	0	0	0
seq247	3	4	1	0	0
seq2471	1	0	0	0	1
seq2472	1	1	0	0	0
seq248	2	1	0	0	0
seq2480	1	1	0	0	0
seq2482	2	0	0	0	0
seq249	2	0	0	0	1
seq2492	1	4	2	0	0
seq250	3	1	0	1	1
seq2500	1	0	0	0	1
seq2501	1	0	0	1	0
seq2505	1	0	1	0	0
seq2513	1	1	2	1	1
seq2515	1	0	1	0	0
seq2517	1	1	0	0	0
seq2526	0	0	3	1	0
seq2527	0	0	1	1	0
seq253	3	1	0	0	1
seq2530	0	0	137	114	43
seq2531	0	667	246	143	75
seq2536	0	2	1	0	0
seq2538	0	1	2	0	0
seq254	1	0	2	0	0
seq2541	0	161	46	30	19
seq2544	0	58	32	22	13
seq2545	0	13	6	3	1
seq2546	0	0	1	1	0
seq255	10	9	6	3	1
seq2550	0	0	163	196	62
seq2554	0	1	1	0	0
seq2558	0	0	2	0	0
seq2567	0	1	1	0	0
seq2571	0	2	1	0	0
seq2575	0	1	1	0	0
seq2578	0	1	1	0	0
seq2579	0	0	117	66	55
seq2580	0	0	1	1	0
seq2583	0	1	1	0	1
seq2584	0	0	2	0	0
seq2585	0	6	6	6	4
seq2586	0	0	1	2	0
seq2588	0	0	1	1	0
seq2590	0	0	2	1	0
seq2594	0	0	1	1	0
seq2595	0	0	2	0	0
seq2597	0	0	2	0	1
seq260	4	3	0	0	0
seq2603	0	0	2	0	0
seq2607	0	1	2	0	0
seq2608	0	3	2	0	0
seq261	2	1	2	1	0
seq2610	0	0	2	0	0
seq2612	0	0	2	0	0
seq2615	0	0	2	0	0
seq2617	0	0	1	0	1
seq2618	0	1	1	0	0
seq2620	0	1	1	0	0
seq2623	0	0	2	0	0
seq2624	0	0	2	1	0
seq2626	0	0	1	1	0
seq2627	0	5	7	5	5
seq2628	0	0	2	0	0
seq2630	0	1	2	0	0
seq2632	0	0	2	0	0
seq2633	0	30	8	10	6
seq2634	0	2	1	0	0
seq2638	0	0	2	5	0
seq264	12	8	2	1	0
seq2650	0	3	1	1	0
seq2654	0	0	2	0	0
seq2670	0	0	3	0	1
seq2676	0	1	1	0	0
seq2677	0	0	1	1	0
seq2680	0	1	2	0	0
seq2682	0	0	1	1	0
seq2685	0	1	2	0	0
seq2687	0	0	1	0	2
seq2690	0	1	3	0	1
seq2691	0	1	1	0	0
seq2692	0	0	1	2	1
seq2698	0	0	1	2	0
seq27	1	0	1	1	3
seq270	10	2	4	1	3
seq2702	0	0	2	3	1
seq2709	0	2	1	0	0
seq2713	0	20	5	1	5
seq2716	0	11	2	0	1
seq2717	0	0	2	0	0
seq2720	0	1	1	0	0
seq273	1	1	0	0	1
seq2730	0	1	2	0	0
seq2735	0	5	1	0	0
seq274	3	0	0	0	0
seq2744	0	1	1	0	0
seq2745	0	0	2	0	0
seq2750	0	0	2	0	0
seq2751	0	0	1	1	0
seq2752	0	1	2	0	1
seq2753	0	0	2	0	0
seq276	1	0	1	0	0
seq2761	0	0	1	0	1
seq2767	0	2	1	1	1
seq2775	0	0	1	1	0
seq278	2	1	2	0	1
seq2781	0	13	3	5	4
seq2787	0	1	1	1	0
seq279	2	0	0	0	0
seq2791	0	0	2	1	1
seq28	304	152	64	33	20
seq280	3	0	0	0	1
seq2802	0	1	1	0	0
seq2803	0	0	15	8	2
seq2804	0	0	2	0	1
seq2812	0	2	2	0	0
seq2813	0	2	2	0	0
seq2815	0	0	1	2	0
seq282	2	0	0	0	0
seq2821	0	0	2	1	0
seq2822	0	6	6	5	5
seq2824	0	2	1	0	0
seq2825	0	0	2	0	1
seq2832	0	1	1	0	0
seq2834	0	1	1	0	0
seq2837	0	1	1	0	1
seq2839	0	0	1	1	1
